time_ms,command_angle,feedback_angle,current_mA
49,90,121,3.10
100,90,104,705.10
151,90,100,478.10
203,90,90,286.60
255,90,93,108.90
306,90,92,142.20
357,90,82,157.20
408,90,81,169.60
459,90,83,125.50
511,90,92,98.30
562,90,91,121.50
613,90,82,128.90
664,90,92,122.30
715,90,92,121.10
767,90,92,123.20
818,90,92,131.00
869,90,92,128.60
920,90,83,117.30
971,90,92,124.50
1023,90,83,124.80
1074,90,92,112.10
1125,90,82,115.50
1176,90,93,92.00
1227,90,92,108.20
1279,90,86,112.90
1330,90,89,112.20
1381,90,92,108.60
1432,90,91,115.40
1483,90,87,109.30
1535,90,85,108.40
1586,90,92,116.00
1637,90,92,108.60
1688,90,83,108.10
1739,90,83,115.50
1791,90,86,113.00
1842,90,83,114.40
1893,90,91,117.10
1944,90,83,108.50
1995,90,84,93.20
2047,90,92,107.90
2098,90,92,87.60
2149,90,92,104.10
2200,90,83,103.80
2251,90,83,109.90
2303,90,92,104.80
2354,90,92,111.60
2405,90,92,104.70
2456,90,83,106.00
2507,90,88,106.20
2559,90,86,104.40
2610,90,92,111.30
2661,90,83,111.30
2712,90,90,111.70
2763,90,92,110.60
2815,90,86,108.30
2866,90,92,110.50
2917,90,91,103.70
2968,90,83,120.80
3019,90,92,111.60
3071,90,92,122.00
3122,90,92,111.80
3173,90,82,118.50
3224,90,83,112.30
3275,90,83,115.60
3327,90,87,112.30
3378,90,92,112.40
3429,90,92,114.10
3480,90,93,112.10
3531,90,91,114.90
3583,90,92,107.90
3634,90,92,118.70
3685,90,83,114.90
3736,90,84,96.50
3787,90,92,115.90
3839,90,89,111.10
3890,90,92,116.90
3941,90,93,107.40
3992,90,92,117.80
4043,90,92,111.70
4095,90,92,99.90
4146,90,83,111.60
4197,90,92,92.00
4248,90,92,111.80
4299,90,83,115.10
4351,90,92,112.00
4402,90,92,115.20
4453,90,91,111.90
4504,90,92,119.30
4555,90,92,88.70
4607,90,91,127.80
4658,90,92,92.70
4709,90,92,121.00
4760,90,84,108.70
4811,90,83,113.30
4863,90,83,116.30
4914,90,82,111.00
4965,90,92,119.20
5016,90,87,86.20
5067,90,92,119.30
5119,90,92,104.50
5170,90,92,116.30
5221,90,92,107.50
5272,90,92,113.80
5323,90,92,112.40
5375,90,92,101.70
5426,90,92,119.10
5477,90,91,90.20
5528,90,92,126.70
5579,90,92,109.50
5631,90,83,126.30
5682,90,83,109.00
5733,90,82,121.90
5784,90,83,107.10
5835,90,85,69.50
5887,90,83,115.80
5938,90,84,86.20
5989,90,91,119.20
6040,90,92,107.80
6091,90,86,118.60
6143,90,92,110.80
6194,90,91,114.40
6245,90,92,111.70
6296,90,92,86.20
6347,90,93,118.30
6399,90,83,94.10
6450,90,92,126.20
6501,90,83,108.30
6552,90,91,121.90
6603,90,83,111.50
6655,90,92,93.20
6706,90,92,113.50
6757,90,87,107.00
6808,90,93,115.60
6859,90,92,107.50
6911,90,93,119.20
6962,90,92,107.60
7013,90,90,90.70
7064,90,91,108.90
7115,90,92,86.40
7167,90,83,113.50
7218,90,92,86.30
7269,90,92,116.90
7320,90,89,107.80
7371,90,92,102.70
7423,90,83,112.00
7474,90,82,94.70
7525,90,86,107.90
7576,90,83,119.70
7627,90,92,107.40
7679,90,92,115.60
7730,90,92,92.30
7781,90,92,110.30
7832,90,92,107.80
7883,90,83,107.60
7935,90,92,111.50
7986,90,83,107.50
8037,90,92,114.80
8088,90,92,107.70
8139,90,83,114.40
8191,90,83,107.30
8242,90,92,109.70
8293,90,91,109.60
8345,90,83,123.80
8396,90,87,87.80
8447,90,84,110.10
8498,90,92,114.10
8549,90,87,107.60
8600,90,92,115.70
8651,90,92,107.20
8703,90,88,81.10
8754,90,91,107.10
8805,90,92,109.20
8856,90,91,107.80
8907,90,92,107.40
8959,90,93,113.20
9010,90,92,107.60
9061,90,82,114.80
9112,90,89,107.60
9163,90,83,114.50
9215,90,91,107.10
9266,90,92,122.40
9317,90,92,108.30
9368,90,92,116.20
9419,90,92,111.10
9471,90,92,106.80
9522,90,92,117.50
9573,90,92,106.90
9625,90,91,108.70
9676,90,92,112.40
9727,90,92,107.50
9778,90,92,114.00
9829,90,92,107.30
9880,90,83,107.60
9931,90,92,111.70
9983,90,92,107.70
10034,90,82,114.50
10085,90,92,107.50
10136,90,92,122.50
10188,90,92,111.60
10240,90,92,118.90
10291,90,84,115.30
10343,90,93,108.20
10395,90,92,120.80
10446,90,92,107.70
10497,90,84,113.40
10548,90,92,110.40
10599,90,92,106.70
10651,90,92,116.30
10703,90,92,106.50
10755,90,91,107.60
10807,90,92,113.20
10859,90,83,106.90
10911,90,83,111.00
10963,90,83,108.60
11015,90,82,107.00
11066,90,92,114.60
11118,90,92,107.00
11169,90,92,107.90
11221,90,92,111.30
11273,90,92,107.10
11325,90,90,112.90
11377,90,92,106.90
11428,90,92,107.30
11480,90,91,114.30
