time_ms,command_angle,feedback_angle,current_mA
49,90,88,2.90
100,90,88,41.10
151,90,89,47.50
202,90,89,51.40
253,90,88,50.30
305,90,89,51.50
356,90,89,53.30
407,90,89,50.60
458,90,89,50.50
509,90,82,53.00
561,90,83,50.20
612,90,87,48.00
663,90,88,50.40
714,90,88,65.10
765,90,89,49.00
817,90,82,64.90
868,90,82,48.00
919,90,84,51.70
970,90,88,47.60
1021,90,89,45.30
1073,90,81,50.20
1124,90,85,45.20
1175,90,88,45.00
1226,90,89,45.20
1277,90,89,45.10
1329,90,89,50.10
1380,90,89,45.20
1431,90,87,43.40
1482,90,89,42.90
1533,90,88,42.50
1585,90,89,49.10
1636,90,89,60.90
1687,90,88,45.90
1738,90,89,48.70
1789,90,88,43.10
1841,90,89,49.10
1892,90,87,49.00
1943,90,89,46.60
1994,90,89,45.30
2045,90,88,67.60
2097,90,89,60.90
2148,90,89,45.00
2199,90,89,45.30
2250,90,83,42.70
2301,90,88,42.60
2353,90,88,42.80
2404,90,88,40.50
2455,90,82,58.00
2506,90,88,43.70
2557,90,89,58.10
2609,90,89,45.00
2660,90,89,44.80
2711,90,89,41.50
2762,90,88,42.40
2813,90,89,40.10
2865,90,89,44.00
2916,90,89,57.80
2967,90,88,45.20
3018,90,89,43.10
3069,90,83,41.40
3121,90,82,42.90
3172,90,89,40.30
3223,90,88,40.70
3274,90,89,56.00
3325,90,85,41.90
3377,90,89,40.50
3428,90,89,46.30
3479,90,89,41.70
3530,90,88,45.30
3581,90,89,40.70
3633,90,88,44.60
3684,90,89,40.70
3735,90,88,63.80
3786,90,88,40.30
3837,90,89,63.80
3889,90,89,40.60
3940,90,89,46.40
3991,90,82,40.60
4042,90,89,43.80
4093,90,87,40.70
4145,90,89,42.40
4196,90,89,58.00
4247,90,88,41.30
4298,90,89,43.50
4349,90,88,40.80
4401,90,89,41.40
4452,90,89,46.40
4503,90,82,40.60
4554,90,88,42.60
4605,90,88,40.00
4657,90,89,40.70
4708,90,89,40.00
4759,90,82,42.90
4810,90,89,40.50
4861,90,83,43.00
4913,90,87,40.50
4964,90,89,40.50
5015,90,89,57.10
5066,90,89,42.10
5117,90,84,58.30
5169,90,89,43.00
5220,90,86,42.90
5271,90,88,46.20
5322,90,89,41.00
5373,90,86,45.50
5425,90,88,40.70
5476,90,89,43.40
5527,90,85,40.50
5578,90,89,41.30
5629,90,88,40.30
5681,90,89,41.40
5732,90,88,40.70
5783,90,86,41.60
5834,90,89,71.30
5885,90,88,38.40
5937,90,89,55.60
5988,90,89,38.30
6039,90,83,41.90
6090,90,88,38.10
6141,90,83,40.10
6193,90,84,39.30
6244,90,88,42.80
6295,90,88,55.70
6346,90,88,42.60
6397,90,89,55.30
6449,90,89,42.60
6500,90,89,40.40
6551,90,89,41.30
6602,90,83,38.10
6653,90,81,41.50
6705,90,88,38.00
6756,90,89,60.60
6807,90,83,37.90
6858,90,88,40.50
6909,90,83,38.40
6961,90,89,38.20
7012,90,89,37.90
7063,90,89,38.90
7114,90,89,43.60
7165,90,83,38.70
7217,90,83,42.90
7268,90,89,38.20
7319,90,88,42.70
7370,90,89,38.10
7421,90,89,42.50
7473,90,89,38.20
7524,90,88,41.10
7575,90,89,38.40
7626,90,89,39.40
7677,90,88,55.40
7729,90,83,37.80
7780,90,83,40.80
7831,90,89,38.10
7882,90,89,42.70
7933,90,87,40.70
7985,90,88,46.50
8036,90,88,59.30
8087,90,83,43.30
8138,90,83,40.70
8189,90,88,41.60
8241,90,89,42.30
8292,90,89,40.60
8343,90,86,40.60
8394,90,87,41.70
8445,90,89,40.30
8497,90,89,40.70
8548,90,89,40.50
8599,90,89,41.20
8650,90,89,40.50
8701,90,83,44.40
8753,90,89,40.30
8804,90,88,42.70
8855,90,89,52.40
8906,90,89,45.80
8957,90,89,58.30
9009,90,89,45.60
9060,90,83,43.20
9111,90,89,44.80
9162,90,88,41.10
9213,90,87,44.40
9265,90,89,40.60
9316,90,89,63.70
