time_ms,command_angle,feedback_angle,current_mA
49,90,159,3.20
100,90,146,440.50
151,90,139,447.00
203,90,124,502.40
255,90,111,605.50
306,90,101,621.70
357,90,95,609.00
408,90,86,591.20
459,90,94,165.50
511,90,83,163.00
562,90,93,136.10
613,90,84,185.60
664,90,82,174.80
715,90,92,159.60
767,90,92,160.30
818,90,86,127.60
869,90,92,100.80
920,90,92,114.40
971,90,92,117.50
1023,90,92,124.00
1074,90,92,102.50
1125,90,90,114.70
1176,90,92,86.60
1227,90,92,112.70
1279,90,83,117.30
1330,90,92,121.40
1381,90,92,112.60
1432,90,82,112.20
1483,90,90,112.90
1535,90,92,87.40
1586,90,91,116.80
1637,90,84,92.50
1688,90,83,111.30
1739,90,92,107.70
1791,90,92,108.00
1842,90,92,108.30
1893,90,90,123.40
1944,90,88,117.60
1995,90,93,109.50
2047,90,92,87.40
2098,90,91,108.00
2149,90,92,107.70
2200,90,92,113.80
2251,90,92,115.60
2303,90,92,119.30
2354,90,93,110.20
2405,90,84,107.90
2456,90,92,108.00
2507,90,92,107.90
2559,90,83,108.10
2610,90,86,109.00
2661,90,86,88.30
2712,90,84,115.20
2763,90,91,114.10
2815,90,92,109.40
2866,90,92,88.20
2917,90,92,109.00
2968,90,92,100.40
3019,90,92,102.30
3071,90,92,106.50
3122,90,84,108.80
3173,90,90,106.30
3224,90,84,99.20
3275,90,84,100.00
3327,90,92,100.40
3378,90,83,100.50
3429,90,92,102.20
3480,90,84,106.20
3531,90,92,106.90
3583,90,92,101.90
3634,90,88,99.70
3685,90,92,99.90
3736,90,92,100.10
3787,90,84,107.20
3839,90,92,111.90
3890,90,92,111.20
3941,90,92,113.70
3992,90,91,109.20
4043,90,93,101.30
4095,90,91,99.50
4146,90,91,99.50
4197,90,83,100.00
4248,90,92,100.10
4299,90,84,100.70
4351,90,84,103.20
4402,90,91,107.10
4453,90,91,105.90
4504,90,92,100.20
4555,90,93,99.80
4607,90,92,100.00
4658,90,92,100.20
4709,90,91,100.20
4760,90,84,111.80
4811,90,92,111.90
4863,90,91,113.20
4914,90,90,111.80
4965,90,92,86.30
5016,90,92,110.90
5067,90,83,106.70
5119,90,92,107.10
5170,90,91,107.60
5221,90,92,107.80
5272,90,92,114.70
5323,90,91,114.90
5375,90,91,112.90
5426,90,91,107.80
5477,90,92,107.60
5528,90,91,107.80
5579,90,92,108.10
5631,90,83,107.70
5682,90,92,123.50
5733,90,91,122.40
5784,90,83,117.30
5835,90,92,113.30
5887,90,92,108.70
5938,90,92,107.30
5989,90,83,107.00
6040,90,92,107.40
6091,90,83,107.50
6143,90,83,107.60
6194,90,89,108.10
6245,90,83,107.80
6296,90,92,109.20
6347,90,92,112.50
6399,90,83,114.80
6450,90,92,115.20
6501,90,92,109.90
6552,90,92,110.60
6603,90,92,109.70
6655,90,92,110.00
6706,90,92,108.30
6757,90,92,108.40
6808,90,92,107.70
6859,90,83,111.80
6911,90,92,111.20
6962,90,92,112.60
7013,90,82,115.80
7064,90,91,115.30
7115,90,92,113.90
7167,90,92,110.80
7218,90,92,107.70
7269,90,92,107.50
7320,90,92,108.20
7371,90,92,108.00
7423,90,84,107.80
7474,90,91,107.80
7525,90,84,109.40
7576,90,91,124.00
7627,90,93,122.70
7679,90,84,121.80
7730,90,92,119.00
7781,90,91,114.80
7832,90,83,113.80
7883,90,91,110.60
7935,90,85,107.30
7986,90,84,107.00
8037,90,92,107.80
8088,90,91,107.80
8139,90,84,107.70
8191,90,91,107.80
8242,90,92,108.10
8293,90,90,109.00
8345,90,92,113.20
8396,90,84,115.20
8447,90,92,114.70
8498,90,92,116.10
8549,90,84,112.30
8600,90,84,108.60
8651,90,92,107.80
8703,90,92,66.00
8754,90,90,107.70
8805,90,91,107.30
8856,90,85,107.60
8907,90,92,108.10
8959,90,84,110.20
9010,90,87,112.10
9061,90,92,114.40
9112,90,92,114.90
9163,90,83,114.70
9215,90,82,113.80
9266,90,84,111.40
9317,90,93,108.50
9368,90,92,107.50
9419,90,92,107.90
9471,90,92,112.40
9522,90,92,111.80
9573,90,93,111.30
9625,90,92,113.80
9676,90,92,113.00
9727,90,85,113.30
9778,90,83,111.40
9829,90,92,114.10
9880,90,92,113.80
9931,90,83,114.70
9983,90,91,114.40
10034,90,81,114.80
10085,90,86,114.70
10136,90,83,114.90
10187,90,92,114.10
10239,90,91,112.70
10290,90,92,110.60
10342,90,92,109.10
10394,90,90,107.80
10446,90,89,107.30
10498,90,88,107.70
10550,90,92,107.70
10601,90,86,112.50
10652,90,92,110.80
10703,90,93,111.10
10754,90,90,111.90
10805,90,91,111.50
10856,90,84,111.50
10907,20,73,578.50
10958,20,64,514.50
11009,20,52,490.50
11060,20,40,479.90
11111,20,27,469.40
11162,20,20,239.50
11213,20,22,149.70
11265,20,20,132.60
11316,20,21,137.70
11367,20,22,146.90
11418,20,21,141.10
11470,20,20,132.40
11522,20,20,132.30
11574,20,20,132.60
11625,20,21,128.30
11676,20,21,137.90
11727,20,22,138.10
11778,20,21,133.00
11829,20,21,132.60
11881,20,20,134.90
11933,20,20,137.10
11984,20,20,137.80
12035,20,20,141.90
12086,20,21,137.40
12137,20,20,136.50
12188,20,20,136.00
12239,20,20,135.80
12291,20,21,110.60
12342,20,20,135.50
12393,20,20,135.30
12445,20,21,134.40
12497,20,22,132.70
12549,20,20,131.20
12600,20,21,130.40
12651,20,20,129.50
12702,20,21,128.50
12753,20,20,140.70
12805,20,20,134.00
12857,20,22,132.40
12909,20,21,131.20
12960,20,21,129.60
13011,20,20,127.60
13064,20,21,128.30
13116,20,21,130.60
13167,20,21,133.80
13218,20,22,135.60
13269,20,20,135.80
13320,20,22,108.30
13372,20,20,136.70
13424,20,21,129.70
13475,20,21,133.60
13526,20,20,126.30
13577,20,20,123.80
13628,20,22,124.00
13680,20,20,123.80
13732,20,20,123.60
13783,20,20,127.70
13834,20,20,127.30
13885,20,21,123.50
13936,20,21,125.40
13988,20,20,129.80
14040,20,20,130.70
14091,20,21,111.00
14142,20,21,137.40
14193,20,21,138.70
14245,20,21,137.00
14296,20,21,129.90
14348,20,20,104.70
14400,20,21,129.20
14451,20,20,123.10
14502,20,20,123.00
14553,20,20,123.50
14605,20,21,121.40
14657,20,20,112.60
14708,20,22,127.80
14759,20,21,130.50
14812,20,20,135.70
14864,20,21,135.40
14916,20,22,130.70
14967,20,21,130.10
15018,20,21,129.90
15069,20,21,105.80
15121,20,20,128.80
15173,20,21,78.40
15224,20,21,128.40
15276,20,21,128.80
15328,20,21,127.70
15379,20,20,124.80
15430,20,20,140.50
15482,20,21,138.80
15534,20,20,139.70
15586,20,21,137.70
15637,20,21,134.30
15688,20,20,130.70
15739,20,20,126.90
15790,20,22,123.00
15842,20,21,123.30
15893,20,20,123.00
15944,20,21,122.90
15995,20,20,123.90
16047,20,20,123.80
16099,20,20,123.60
16150,20,21,123.70
16201,20,21,123.40
16253,20,20,123.80
16306,20,20,123.30
16358,20,21,123.40
16409,20,20,123.40
16460,20,21,125.20
16511,20,20,126.40
16562,20,22,127.90
16613,20,21,134.40
16665,20,20,131.00
16717,20,20,130.90
16768,20,21,142.00
16819,20,21,137.20
16871,20,21,132.60
16923,20,21,131.90
16974,20,20,124.00
17026,20,20,123.50
17078,20,20,123.80
17129,20,21,127.80
17180,20,20,101.30
17232,20,21,133.90
17284,20,22,129.90
17336,20,20,126.50
17388,20,21,123.10
17439,20,21,123.00
17490,20,20,123.50
17543,20,21,123.40
17595,20,20,122.80
17647,20,21,125.50
17698,20,20,130.10
17749,20,20,130.90
17800,20,21,131.00
17851,20,21,130.80
17903,20,21,127.40
17954,20,20,124.20
18005,20,20,123.50
18056,90,20,491.10
18107,90,29,353.60
18159,90,43,483.30
18211,90,54,535.70
18263,90,69,464.00
18315,90,85,127.30
18367,90,77,170.90
18418,90,78,170.70
18470,90,87,151.50
18521,90,79,133.10
18573,90,87,125.40
18625,90,87,119.40
18676,90,87,115.70
18727,90,79,107.60
18778,90,83,106.80
18829,90,78,109.10
18880,90,86,113.90
18931,90,88,111.10
18982,90,87,113.80
19034,90,88,106.90
19086,90,79,104.20
19138,90,86,130.90
19190,90,84,104.10
19242,90,79,108.30
19294,90,87,103.80
19346,90,79,103.50
19397,90,79,103.60
19448,90,87,104.20
19499,90,87,104.10
19550,90,87,106.50
19601,90,87,110.60
19652,90,87,112.60
19704,90,87,117.00
19756,90,86,117.80
19807,90,88,108.80
19859,90,87,106.30
19910,90,87,103.80
19961,90,87,102.90
20013,90,87,102.60
20065,90,88,103.20
20117,90,79,104.70
20169,90,79,108.20
20221,90,88,111.90
20274,90,87,113.40
20326,90,87,110.60
20378,90,88,109.30
20430,90,87,108.40
20481,90,87,106.00
20532,90,78,139.10
20583,90,87,103.80
20634,90,79,103.80
20686,90,87,104.00
20737,90,86,103.80
20788,90,87,104.30
20840,90,88,103.80
20892,90,87,103.70
20944,90,82,103.80
20995,90,87,104.20
21046,90,87,103.90
21097,90,88,103.90
21148,90,87,103.70
21199,90,79,107.50
21251,90,87,105.40
21303,90,79,105.80
21354,90,87,105.40
21405,90,87,104.10
21456,90,86,125.40
21507,90,87,99.60
21558,90,87,126.60
21609,90,87,103.90
21660,90,87,126.80
21711,90,79,103.90
21762,90,79,104.20
21813,90,88,126.80
21865,90,79,104.00
21917,90,82,99.90
21968,90,87,104.10
22019,90,87,104.50
22070,90,79,114.60
22122,90,87,119.60
22174,90,87,116.40
22226,90,87,118.80
22279,90,87,119.00
22331,90,87,100.20
22382,90,88,118.70
22433,90,79,116.30
22485,90,79,113.30
22536,90,86,104.10
22588,90,87,126.80
22640,90,78,135.20
22691,90,87,104.60
22742,90,87,105.90
