time_ms,command_angle,feedback_angle,current_mA
49,90,158,2.70
100,90,145,459.40
151,90,138,436.40
203,90,124,480.10
255,90,110,591.60
306,90,103,609.50
357,90,96,598.00
408,90,87,592.50
459,90,94,189.80
511,90,93,179.30
562,90,83,182.10
613,90,81,185.60
664,90,92,179.20
715,90,92,175.10
767,90,82,162.70
818,90,82,159.70
869,90,84,117.20
920,90,92,134.00
971,90,92,122.00
1023,90,92,134.00
1074,90,92,121.10
1125,90,92,119.20
1176,90,92,103.40
1227,90,90,118.40
1279,90,90,114.80
1330,90,86,126.80
1381,90,92,114.70
1432,90,91,119.80
1483,90,92,124.30
1535,90,84,115.20
1586,90,83,117.90
1637,90,83,118.40
1688,90,92,114.80
1739,90,92,118.10
1791,90,92,117.90
1842,90,93,113.90
1893,90,90,120.60
1944,90,91,131.10
1995,90,91,115.00
2047,90,84,121.70
2098,90,86,124.10
2149,90,91,113.90
2200,90,92,96.10
2251,90,92,113.90
2303,90,84,113.10
2354,90,83,110.60
2405,90,83,113.80
2456,90,92,118.00
2507,90,92,115.30
2559,90,92,113.60
2610,90,92,121.10
2661,90,83,114.00
2712,90,82,115.40
2763,90,92,119.60
2815,90,92,114.30
2866,90,83,119.60
2917,90,85,114.30
2968,90,86,115.50
3019,90,84,122.70
3071,90,83,118.20
3122,90,84,116.60
3173,90,91,122.70
3224,90,91,113.40
3275,90,83,122.20
3327,90,83,113.40
3378,90,92,113.50
3429,90,87,121.00
3480,90,91,113.80
3531,90,92,114.30
3583,90,91,118.70
3634,90,92,113.90
3685,90,91,120.40
3736,90,92,114.30
3787,90,92,113.90
3839,90,92,121.00
3890,90,83,125.90
3941,90,92,114.10
3992,90,84,130.00
4043,90,92,114.70
4095,90,91,91.90
4146,90,92,122.70
4197,90,92,113.30
4248,90,92,121.60
4299,90,92,114.10
4351,90,83,113.30
4402,90,86,121.10
4453,90,91,114.00
4504,90,92,115.60
4555,90,83,118.30
4607,90,83,114.30
4658,90,92,121.30
4709,90,92,113.90
4760,90,92,113.90
4811,90,92,119.90
4863,90,87,114.00
4914,90,91,123.10
4965,90,89,100.60
5016,90,92,116.60
5067,90,92,123.70
5119,90,89,114.20
5170,90,88,121.60
5221,90,88,113.90
5272,90,91,113.50
5323,90,87,120.40
5375,90,83,114.10
5426,90,84,118.00
5477,90,91,115.40
5528,90,92,114.40
5579,90,92,120.60
5631,90,92,114.00
5682,90,91,110.80
5733,90,92,121.10
5784,90,92,114.00
5835,90,83,116.10
5887,90,92,130.30
5938,90,91,100.40
5989,90,83,122.20
6040,90,86,116.60
6091,90,92,113.80
6143,90,92,125.50
6194,90,90,113.40
6245,90,92,113.30
6296,90,87,95.80
6347,90,83,114.20
6399,90,84,114.70
6450,90,93,119.10
6501,90,91,113.90
6552,20,72,571.10
6603,20,63,482.30
6655,20,50,480.90
6706,20,38,464.30
6757,20,25,472.90
6808,20,26,119.70
6859,20,22,150.10
6911,20,20,174.10
6962,20,20,125.60
7013,20,20,162.00
